Date,Open,High,Low,Close,Volume,Adj Close
2013-09-13,64.48,64.59,63.64,64.49,25200,64.49
2013-09-12,64.74,65.06,63.76,64.16,35500,64.16
2013-09-11,64.33,64.69,63.46,64.61,39600,64.61
2013-09-10,63.76,64.43,63.12,64.42,74400,64.42
2013-09-09,60.35,62.59,60.23,62.49,52300,62.49
2013-09-06,60.38,60.89,57.84,59.76,42000,59.76
2013-09-05,59.08,60.12,59.08,59.47,38000,59.47
2013-09-04,57.54,59.29,56.85,59.12,62400,59.12
2013-09-03,59.93,60.20,55.83,57.37,157800,57.37
2013-08-30,60.31,60.31,57.39,57.56,32100,57.56
2013-08-29,59.05,60.88,59.05,60.27,23000,60.27
2013-08-28,58.88,60.13,58.73,59.48,26800,59.48
2013-08-27,60.79,61.11,58.98,58.98,41600,58.98
2013-08-26,63.01,63.80,62.32,62.75,40600,62.75
2013-08-23,63.00,63.00,61.47,62.73,49600,62.73
2013-08-22,60.89,62.87,60.88,62.49,34600,62.49
2013-08-21,61.04,62.24,60.18,60.47,30800,60.47
2013-08-20,59.79,62.25,59.65,61.98,58400,61.98
2013-08-19,60.75,61.31,59.72,59.78,148500,59.78
2013-08-16,61.20,62.10,60.85,61.03,24100,61.03
2013-08-15,63.53,63.53,61.11,61.50,75600,61.50
2013-08-14,65.90,66.13,64.88,64.97,44600,64.97
2013-08-13,66.58,66.58,64.88,66.23,18300,66.23
2013-08-12,64.64,66.75,64.64,66.46,95700,66.46
2013-08-09,65.28,66.56,65.13,65.90,115000,65.90
2013-08-08,65.64,66.25,64.79,65.83,43100,65.83
2013-08-07,65.65,65.95,64.41,64.86,87200,64.86
2013-08-06,67.56,68.00,65.94,66.20,79000,66.20
2013-08-05,68.22,68.76,67.88,68.54,16800,68.54
2013-08-02,68.40,68.77,67.79,68.49,55900,68.49
2013-08-01,66.89,69.87,66.67,69.27,122900,69.27
2013-07-31,65.04,66.50,64.71,65.15,70700,65.15
2013-07-30,64.58,64.78,63.97,64.36,60700,64.36
2013-07-29,63.98,65.00,63.16,63.82,136000,63.82
2013-07-26,64.20,64.78,63.50,64.57,70900,64.57
2013-07-25,64.29,65.66,64.16,65.53,60500,65.53
2013-07-24,67.10,67.33,64.39,64.74,168000,64.74
2013-07-23,66.92,66.92,65.86,66.42,54900,66.42
2013-07-22,65.89,66.51,65.50,66.30,66800,66.30
2013-07-19,64.95,65.70,64.65,65.54,56700,65.54
2013-07-18,64.22,65.52,63.92,65.27,132200,65.27
2013-07-17,63.90,64.15,62.95,63.62,108000,63.62
2013-07-16,64.38,64.47,62.55,62.81,65900,62.81
2013-07-15,63.79,64.40,63.21,64.14,49800,64.14
2013-07-12,63.00,63.66,62.79,63.47,118800,63.47
2013-07-11,62.62,63.01,61.96,62.92,142300,62.92
2013-07-10,60.60,60.84,59.60,60.44,74100,60.44
2013-07-09,59.81,60.79,59.03,60.59,94200,60.59
2013-07-08,59.12,59.41,58.50,58.60,68300,58.60
