Date,Open,High,Low,Close,Volume,Adj Close
2013-09-13,25.10,25.12,24.81,24.85,4400,24.85
2013-09-12,24.74,25.04,24.67,25.03,7500,25.03
2013-09-11,24.88,25.20,24.81,24.91,11100,24.91
2013-09-10,25.14,25.37,24.86,24.86,41200,24.86
2013-09-09,26.63,26.67,25.62,25.67,30300,25.67
2013-09-06,26.67,27.58,26.39,26.91,30600,26.91
2013-09-05,27.16,27.22,26.73,27.04,23200,27.04
2013-09-04,28.33,28.33,27.16,27.24,18100,27.24
2013-09-03,26.74,28.82,26.69,28.07,111500,28.07
2013-08-30,26.75,28.04,26.75,27.97,22200,27.97
2013-08-29,27.32,27.32,26.48,26.80,8500,26.80
2013-08-28,27.46,27.48,26.85,27.15,30700,27.15
2013-08-27,26.64,27.38,26.50,27.38,55300,27.38
2013-08-26,25.75,25.83,25.44,25.78,39000,25.78
2013-08-23,25.84,26.39,25.82,25.87,7100,25.87
2013-08-22,26.74,26.74,25.78,25.95,38700,25.95
2013-08-21,26.65,27.05,26.10,26.70,16600,26.70
2013-08-20,27.27,27.27,26.06,26.22,25500,26.22
2013-08-19,26.88,27.25,26.66,27.25,17200,27.25
2013-08-16,26.53,26.75,26.25,26.59,17000,26.59
2013-08-15,26.00,26.58,25.90,26.44,70700,26.44
2013-08-14,24.97,25.14,24.88,25.11,5600,25.11
2013-08-13,24.58,25.17,24.57,24.69,6400,24.69
2013-08-12,25.26,25.26,24.51,24.61,13000,24.61
2013-08-09,24.97,25.12,24.61,24.77,7600,24.77
2013-08-08,24.96,25.21,24.68,24.79,16900,24.79
2013-08-07,24.92,25.36,24.85,25.21,20100,25.21
2013-08-06,24.17,24.77,24.17,24.70,10100,24.70
2013-08-05,24.07,24.09,23.92,23.92,3000,23.92
2013-08-02,24.03,24.11,23.90,23.94,13300,23.94
2013-08-01,24.32,24.32,23.44,23.68,53900,23.68
2013-07-31,25.31,25.33,24.80,25.27,25900,25.27
2013-07-30,25.51,25.82,25.42,25.58,30800,25.58
2013-07-29,25.53,26.06,25.38,25.79,40700,25.79
2013-07-26,25.60,25.91,25.52,25.53,17300,25.53
2013-07-25,25.62,25.67,25.11,25.18,10600,25.18
2013-07-24,24.63,25.56,24.63,25.43,21400,25.43
2013-07-23,24.67,24.95,24.67,24.85,98100,24.85
2013-07-22,24.99,25.08,24.82,24.91,28000,24.91
2013-07-19,25.44,25.50,25.15,25.20,20700,25.20
2013-07-18,25.64,25.64,25.24,25.31,16500,25.31
2013-07-17,25.93,26.24,25.76,26.00,20100,26.00
2013-07-16,25.74,26.34,25.72,26.31,14900,26.31
2013-07-15,25.94,26.09,25.69,25.78,22000,25.78
2013-07-12,26.23,26.32,25.97,26.06,70400,26.06
2013-07-11,26.21,26.68,26.21,26.31,36400,26.31
2013-07-10,27.32,27.76,27.29,27.43,19700,27.43
2013-07-09,27.81,28.01,27.30,27.39,49200,27.39
2013-07-08,28.16,28.40,27.93,28.35,23200,28.35
2013-07-05,28.92,29.73,28.48,28.50,11200,28.50
2013-07-03,30.01,30.10,29.48,29.63,4500,29.63
2013-07-02,29.48,29.95,28.93,29.71,20400,29.71
2013-07-01,30.20,30.20,29.08,29.64,34100,29.64
2013-06-28,30.57,30.85,29.99,30.68,17200,30.68
2013-06-27,30.97,31.04,30.18,30.26,24200,30.26
2013-06-26,31.27,31.97,31.27,31.70,12800,31.70
2013-06-25,32.61,33.35,32.13,32.33,16300,32.33
2013-06-24,33.54,34.60,32.82,33.59,66300,33.59
2013-06-21,32.37,33.38,31.81,32.63,44300,32.63
2013-06-20,31.23,32.58,31.10,32.36,123300,32.36
2013-06-19,28.74,29.67,28.74,29.65,12500,29.65
2013-06-18,29.27,29.27,28.53,28.75,12000,28.75
2013-06-17,29.33,29.74,29.20,29.50,7200,29.50
2013-06-14,29.86,30.05,29.28,29.94,28900,29.94
2013-06-13,31.60,31.60,29.41,29.61,19800,29.61
2013-06-12,29.88,31.49,29.77,31.30,23000,31.30
2013-06-11,30.37,30.84,29.68,30.45,19800,30.45
2013-06-10,29.23,29.80,29.16,29.39,13300,29.39
2013-06-07,29.74,30.44,29.40,29.45,42200,29.45
2013-06-06,31.44,31.66,30.34,30.34,23700,30.34
2013-06-05,30.52,31.51,30.25,31.48,72700,31.48
2013-06-04,29.52,30.41,29.15,30.23,11300,30.23
2013-06-03,29.67,30.42,29.16,29.55,18300,29.55
2013-05-31,29.01,29.19,28.17,29.17,10000,29.17
2013-05-30,28.68,28.88,28.46,28.54,10400,28.54
2013-05-29,28.95,29.74,28.80,29.18,27500,29.18
2013-05-28,28.07,28.91,27.70,28.47,22900,28.47
2013-05-24,29.31,29.91,29.10,29.16,15300,29.16
2013-05-23,29.79,29.95,28.89,28.93,32800,28.93
2013-05-22,27.31,29.10,26.73,28.74,28700,28.74
2013-05-21,27.26,27.64,27.20,27.35,7600,27.35
2013-05-20,27.67,27.67,27.22,27.52,18200,27.52
2013-05-17,28.11,28.13,27.60,27.64,10400,27.64
2013-05-16,27.86,28.49,27.81,28.39,6200,28.39
2013-05-15,28.59,28.60,27.88,27.98,14200,27.98
2013-05-14,29.16,29.16,28.35,28.35,25100,28.35
2013-05-13,29.53,29.63,29.11,29.38,22800,29.38
2013-05-10,29.64,29.76,29.18,29.21,12200,29.21
2013-05-09,29.40,29.84,29.40,29.78,5700,29.78
2013-05-08,30.00,30.09,29.45,29.45,61300,29.45
2013-05-07,30.50,30.51,29.83,29.84,17200,29.84
2013-05-06,31.16,31.16,30.62,30.66,25200,30.66
2013-05-03,31.46,31.71,30.74,31.06,23400,31.06
2013-05-02,33.02,33.15,32.41,32.52,16000,32.52
2013-05-01,32.01,33.47,32.01,33.40,30500,33.40
2013-04-30,32.53,32.91,31.76,31.76,41600,31.76
2013-04-29,32.94,32.97,32.43,32.60,50500,32.60
2013-04-26,33.12,33.68,32.95,33.37,7600,33.37
2013-04-25,33.15,33.33,32.50,32.94,16300,32.94
2013-04-24,33.60,33.90,33.33,33.49,10300,33.49
2013-04-23,34.32,34.65,33.74,33.79,40200,33.79
2013-04-22,35.10,36.28,34.85,34.97,16300,34.97
2013-04-19,36.16,36.67,35.17,35.35,36700,35.35
2013-04-18,36.01,37.31,35.84,36.91,25300,36.91
2013-04-17,35.50,37.05,35.50,36.20,35200,36.20
2013-04-16,35.40,35.83,34.48,34.52,45000,34.52
2013-04-15,33.71,36.50,33.68,36.33,28400,36.33
2013-04-12,33.07,33.50,32.95,33.12,25100,33.12
2013-04-11,33.20,33.27,32.49,32.78,37200,32.78
2013-04-10,34.37,34.37,33.13,33.21,42600,33.21
2013-04-09,34.41,35.06,34.28,34.61,30100,34.61
2013-04-08,35.34,35.78,34.62,34.62,57600,34.62
2013-04-05,36.87,37.06,35.44,35.52,59500,35.52
2013-04-04,35.92,36.02,35.35,35.35,36300,35.35
2013-04-03,34.10,36.25,34.10,35.98,53500,35.98
2013-04-02,33.10,34.57,33.10,34.27,18500,34.27
2013-04-01,10.98,11.40,10.96,11.32,13400,33.96
2013-03-28,11.17,11.20,10.94,10.99,31900,32.97
2013-03-27,11.50,11.59,11.19,11.20,14100,33.60
2013-03-26,11.34,11.44,11.27,11.27,17800,33.81
2013-03-25,11.29,11.62,11.19,11.48,27300,34.44
2013-03-22,11.37,11.45,11.37,11.41,12600,34.23
2013-03-21,11.45,11.61,11.28,11.52,6300,34.56
2013-03-20,11.36,11.43,11.21,11.22,28200,33.66
2013-03-19,11.41,11.84,11.35,11.58,19800,34.74
2013-03-18,11.69,11.70,11.35,11.51,17500,34.53
2013-03-15,11.42,11.43,11.35,11.37,6900,34.11
2013-03-14,11.51,11.53,11.33,11.33,14500,33.99
2013-03-13,11.68,11.76,11.56,11.60,22100,34.80
2013-03-12,11.72,11.84,11.66,11.72,16000,35.16
2013-03-11,11.86,11.90,11.68,11.73,6100,35.19
