Date,Open,High,Low,Close,Volume,Adj Close
2013-09-13,14.96,15.59,14.83,15.09,2821200,15.09
2013-09-12,14.95,15.53,14.60,15.49,3026000,15.49
2013-09-11,16.18,16.31,14.94,14.94,4611200,14.94
2013-09-10,16.37,16.50,16.00,16.00,3539100,16.00
2013-09-09,18.31,18.49,17.23,17.27,3638300,17.27
2013-09-06,17.93,19.58,17.76,18.61,3546700,18.61
2013-09-05,19.11,19.25,18.32,18.37,2276600,18.37
2013-09-04,19.26,19.51,18.94,19.17,3009400,19.17
2013-09-03,18.93,20.03,18.76,19.16,4483800,19.16
2013-08-30,19.98,21.47,19.96,20.67,3669500,20.67
2013-08-29,1.99,2.03,1.91,2.01,113500,2.01
2013-08-28,1.99,2.04,1.90,1.95,13282900,1.95
2013-08-27,1.86,1.98,1.80,1.96,23888100,1.96
2013-08-26,1.59,1.71,1.56,1.71,8640700,1.71
2013-08-23,1.64,1.68,1.61,1.62,5448700,1.62
2013-08-22,1.71,1.72,1.66,1.68,6123100,1.68
2013-08-21,1.74,1.83,1.63,1.75,19598300,1.75
2013-08-20,1.76,1.77,1.62,1.68,10369700,1.68
2013-08-19,1.67,1.75,1.65,1.72,8440100,1.72
2013-08-16,1.70,1.71,1.60,1.65,8878500,1.65
2013-08-15,1.65,1.71,1.64,1.69,15332300,1.69
2013-08-14,1.51,1.56,1.50,1.56,5952300,1.56
2013-08-13,1.53,1.60,1.49,1.51,6879000,1.51
2013-08-12,1.63,1.64,1.54,1.54,6315700,1.54
2013-08-09,1.54,1.60,1.51,1.57,6345300,1.57
2013-08-08,1.51,1.60,1.50,1.52,6172000,1.52
2013-08-07,1.61,1.66,1.56,1.57,9645600,1.57
2013-08-06,1.48,1.57,1.46,1.56,10109300,1.56
2013-08-05,1.51,1.51,1.45,1.45,5484100,1.45
2013-08-02,1.60,1.61,1.49,1.49,7998000,1.49
2013-08-01,1.62,1.63,1.59,1.59,7437300,1.59
2013-07-31,1.80,1.80,1.65,1.72,12264000,1.72
2013-07-30,1.84,1.87,1.79,1.80,5435900,1.80
2013-07-29,1.86,1.88,1.82,1.85,5051100,1.85
2013-07-26,1.88,1.92,1.81,1.82,7051100,1.82
2013-07-25,1.96,1.97,1.83,1.83,7566700,1.83
2013-07-24,1.84,1.94,1.84,1.91,8705600,1.91
2013-07-23,1.86,1.93,1.84,1.87,8565900,1.87
