Date,Open,High,Low,Close,Volume,Adj Close
2013-09-13,33.40,34.95,33.10,33.66,3990900,33.66
2013-09-12,33.43,34.88,32.51,34.70,5288800,34.70
2013-09-11,36.26,36.53,33.37,33.65,5248400,33.65
2013-09-10,36.48,37.02,35.86,35.90,5034400,35.90
2013-09-09,40.96,41.45,38.38,38.70,4968400,38.70
2013-09-06,40.08,44.28,39.83,41.82,8653000,41.82
2013-09-05,42.97,43.27,41.01,41.30,3357700,41.30
2013-09-04,43.46,44.05,42.55,43.12,4368700,43.12
2013-09-03,42.77,45.34,42.36,43.38,7085800,43.38
2013-08-30,45.17,48.59,45.15,46.95,8680100,46.95
2013-08-29,45.24,45.91,43.20,45.85,6191000,45.85
2013-08-28,44.82,45.97,42.55,43.85,7224000,43.85
2013-08-27,41.56,44.70,40.39,44.20,9245300,44.20
2013-08-26,35.04,38.31,34.51,38.01,5556300,38.01
2013-08-23,36.50,37.22,35.66,35.76,3600900,35.76
2013-08-22,38.19,38.38,36.79,37.24,5396500,37.24
2013-08-21,39.14,40.68,36.25,39.11,9200200,39.11
2013-08-20,39.03,39.52,35.87,37.70,5296700,37.70
2013-08-19,37.05,39.00,36.56,38.70,4352300,38.70
2013-08-16,37.95,38.19,35.50,36.73,6867100,36.73
2013-08-15,36.88,38.35,36.52,37.99,7841900,37.99
2013-08-14,33.52,34.65,33.21,34.60,4285400,34.60
2013-08-13,33.96,35.52,33.51,33.95,4564500,33.95
2013-08-12,36.44,36.56,34.26,34.57,4232000,34.57
2013-08-09,34.10,35.66,33.47,34.95,5189400,34.95
2013-08-08,33.81,35.47,33.50,33.93,3948900,33.93
2013-08-07,35.48,36.98,34.70,35.10,5450400,35.10
2013-08-06,32.78,34.88,32.58,34.40,4804900,34.40
2013-08-05,33.06,33.44,32.24,32.45,3329800,32.45
2013-08-02,35.13,35.21,33.19,33.33,4369800,33.33
2013-08-01,35.40,35.80,34.80,35.09,4299200,35.09
2013-07-31,38.92,39.04,35.69,37.40,5153300,37.40
2013-07-30,40.30,41.12,38.94,39.09,3003100,39.09
2013-07-29,40.43,41.40,39.69,40.53,2393200,40.53
2013-07-26,40.81,42.19,39.39,39.61,3252800,39.61
2013-07-25,42.84,43.00,39.70,39.99,3452900,39.99
2013-07-24,40.35,42.82,40.25,41.99,3898600,41.99
2013-07-23,40.52,42.35,39.89,40.96,3881800,40.96
2013-07-22,42.61,43.50,41.04,41.31,3584900,41.31
2013-07-19,45.80,46.94,42.73,43.24,3818000,43.24
2013-07-18,45.92,46.35,44.05,45.10,3777600,45.10
2013-07-17,48.83,49.78,46.61,46.76,3679000,46.76
2013-07-16,47.46,51.21,47.29,50.08,4180400,50.08
2013-07-15,48.88,49.70,47.01,47.64,2182400,47.64
2013-07-12,48.91,50.51,48.40,49.82,2870300,49.82
2013-07-11,48.33,50.05,47.93,48.86,4002500,48.86
2013-07-10,52.71,53.22,51.11,51.56,3793300,51.56
2013-07-09,52.14,53.64,51.62,52.71,3185400,52.71
2013-07-08,57.20,57.75,54.50,55.26,4547800,55.26
2013-07-05,64.00,66.15,60.57,60.57,4228000,60.57
2013-07-03,70.52,71.17,66.68,67.48,2526100,67.48
2013-07-02,68.66,71.09,65.50,69.10,3949100,69.10
2013-07-01,69.45,69.74,64.55,66.97,3358400,66.97
2013-06-28,75.18,76.38,69.27,71.69,4456900,71.69
2013-06-27,74.82,76.12,72.20,72.40,3984100,72.40
2013-06-26,78.20,81.89,78.01,78.68,3871800,78.68
2013-06-25,81.99,86.06,81.13,82.22,4036700,82.22
2013-06-24,86.28,89.84,82.44,87.47,5955300,87.47
2013-06-21,78.98,87.87,77.00,78.13,6632200,78.13
2013-06-20,74.18,88.75,73.60,84.40,8594900,84.40
2013-06-19,69.74,70.78,62.34,68.48,6506800,68.48
2013-06-18,70.04,70.69,68.55,68.58,3464600,68.58
2013-06-17,69.98,73.50,69.05,70.49,4255700,70.49
2013-06-14,70.29,74.10,67.14,73.49,4555500,73.49
2013-06-13,77.16,79.20,69.02,69.77,5271800,69.77
2013-06-12,65.98,78.77,65.64,77.25,5635600,77.25
2013-06-11,66.06,69.92,63.77,69.21,4576600,69.21
2013-06-10,60.83,63.05,60.35,61.06,4556700,61.06
2013-06-07,6.48,6.68,6.22,6.25,423200,62.50
2013-06-06,7.15,7.82,6.86,6.88,4167800,68.80
2013-06-05,6.73,7.09,6.61,7.03,3907000,70.30
2013-06-04,6.42,6.88,6.31,6.49,3279300,64.90
2013-06-03,6.34,7.02,6.31,6.33,4709900,63.30
2013-05-31,6.08,6.39,5.94,6.34,3173400,63.40
2013-05-30,6.00,6.13,5.84,5.96,2213900,59.60
2013-05-29,5.98,6.23,5.88,5.96,2911000,59.60
2013-05-28,5.75,5.97,5.68,5.78,2419300,57.80
2013-05-24,6.28,6.35,6.07,6.11,2102100,61.10
2013-05-23,6.61,6.63,6.05,6.11,4517000,61.10
2013-05-22,5.81,6.23,5.73,6.04,4620500,60.40
2013-05-21,5.76,5.99,5.71,5.90,2246700,59.00
2013-05-20,5.80,5.82,5.63,5.81,1889700,58.10
2013-05-17,5.91,5.93,5.62,5.65,2518500,56.50
2013-05-16,5.94,6.09,5.81,5.97,2205000,59.70
2013-05-15,5.89,5.98,5.76,5.86,2108300,58.60
2013-05-14,5.81,5.92,5.73,5.78,2034100,57.80
2013-05-13,5.96,6.07,5.84,5.86,1702200,58.60
2013-05-10,6.14,6.27,5.93,5.94,2349700,59.40
2013-05-09,5.94,6.29,5.90,6.05,3225900,60.50
2013-05-08,5.87,6.07,5.77,5.83,1747900,58.30
2013-05-07,5.71,5.94,5.66,5.76,1629900,57.60
2013-05-06,6.07,6.10,5.81,5.87,1951800,58.70
2013-05-03,6.07,6.19,6.02,6.08,2398100,60.80
2013-05-02,6.58,6.64,6.30,6.36,2797900,63.60
2013-05-01,6.40,6.83,6.36,6.82,3233300,68.20
2013-04-30,6.41,6.62,6.25,6.30,2241000,63.00
2013-04-29,6.29,6.50,6.20,6.41,1956100,64.10
2013-04-26,6.63,6.79,6.43,6.48,2487500,64.80
2013-04-25,6.22,6.57,6.17,6.46,2307600,64.60
2013-04-24,6.33,6.46,6.16,6.38,1975400,63.80
2013-04-23,6.58,7.63,6.25,6.29,3585600,62.90
2013-04-22,7.42,7.77,6.90,7.03,2690200,70.30
2013-04-19,8.32,8.43,7.20,7.33,3306300,73.30
2013-04-18,7.84,8.95,7.80,8.56,5222300,85.60
2013-04-17,6.89,8.34,6.88,7.88,6586300,78.80
2013-04-16,6.94,7.22,6.35,6.39,3900900,63.90
2013-04-15,6.37,8.21,6.18,7.75,6581200,77.50
2013-04-12,6.69,6.81,6.26,6.28,2368200,62.80
2013-04-11,6.53,6.63,6.30,6.52,2122900,65.20
2013-04-10,6.80,6.85,6.55,6.57,2489700,65.70
2013-04-09,7.02,7.25,6.81,6.95,2621600,69.50
2013-04-08,7.43,7.65,7.13,7.16,2444700,71.60
2013-04-05,8.35,8.43,7.55,7.57,3424600,75.70
2013-04-04,7.73,8.14,7.50,7.52,3354000,75.20
2013-04-03,7.24,7.91,7.15,7.75,3421400,77.50
2013-04-02,7.51,7.56,7.25,7.25,2540600,72.50
2013-04-01,7.62,7.90,7.56,7.73,2105500,77.30
2013-03-28,7.69,7.83,7.63,7.69,2003600,76.90
2013-03-27,7.97,8.09,7.63,7.74,2918700,77.40
2013-03-26,7.76,7.95,7.52,7.58,3163700,75.80
2013-03-25,7.81,8.50,7.60,8.02,4823100,80.20
