Date,Open,High,Low,Close,Volume,Adj Close
2013-09-13,58.80,59.17,57.95,59.06,4845500,59.06
2013-09-12,59.32,59.52,58.14,58.29,6253600,58.29
2013-09-11,59.13,59.85,58.69,59.42,6564100,59.42
2013-09-10,58.77,59.42,58.15,59.39,9722700,59.39
2013-09-09,55.79,57.83,55.75,57.67,7191900,57.67
2013-09-06,55.71,56.00,52.58,55.12,13066600,55.12
2013-09-05,54.63,55.41,54.35,54.72,6814700,54.72
2013-09-04,53.27,54.59,52.65,54.50,8598600,54.50
2013-09-03,54.37,55.16,51.70,53.15,13092700,53.15
2013-08-30,54.67,54.69,51.86,52.23,10298900,52.23
2013-08-29,52.92,55.23,52.82,54.71,9606800,54.71
2013-08-28,52.51,53.66,52.36,53.03,8515100,53.03
2013-08-27,54.69,55.44,52.42,52.70,12757200,52.70
2013-08-26,57.05,57.78,56.06,56.66,8651700,56.66
2013-08-23,56.75,56.84,55.55,56.69,8329800,56.69
2013-08-22,54.57,56.40,54.53,56.37,9933800,56.37
2013-08-21,54.35,55.67,53.26,54.05,14659600,54.05
2013-08-20,52.92,55.37,52.87,55.07,9959200,55.07
2013-08-19,54.35,54.72,52.68,52.73,9849500,52.73
2013-08-16,54.61,55.53,54.22,54.46,10558800,54.46
2013-08-15,56.33,56.54,54.77,55.15,13223600,55.15
2013-08-14,59.10,59.37,58.31,58.35,8470100,58.35
2013-08-13,59.44,59.44,57.92,59.04,9405300,59.04
2013-08-12,57.21,59.35,57.18,59.23,7319700,59.23
2013-08-09,58.23,59.25,57.54,58.33,11289700,58.33
2013-08-08,58.80,59.33,57.64,58.57,10725400,58.57
2013-08-07,58.53,58.90,57.45,57.91,8823200,57.91
2013-08-06,60.43,60.61,58.62,59.09,10281700,59.09
2013-08-05,60.14,61.12,59.89,60.92,7377900,60.92
2013-08-02,59.59,60.51,59.33,60.39,8772200,60.39
2013-08-01,59.54,60.63,59.27,60.16,7297700,60.16
2013-07-31,58.22,59.50,57.75,57.92,9325600,57.92
2013-07-30,57.90,58.20,56.92,57.59,7588500,57.59
2013-07-29,58.16,58.87,56.77,57.41,7937300,57.41
2013-07-26,58.36,58.73,57.36,58.58,9157900,58.58
2013-07-25,57.56,59.51,57.34,59.48,7975700,59.48
2013-07-24,60.02,60.15,57.53,57.75,10828500,57.75
2013-07-23,59.98,60.10,58.93,59.26,7654600,59.26
2013-07-22,59.25,59.76,58.72,59.44,8126900,59.44
2013-07-19,58.54,58.99,58.03,58.91,5970300,58.91
2013-07-18,58.04,59.45,57.91,58.74,7264800,58.74
2013-07-17,57.89,58.38,57.25,57.58,9525600,57.58
2013-07-16,57.87,57.96,56.53,56.90,8682100,56.90
2013-07-15,56.78,57.96,56.59,57.73,7557600,57.73
2013-07-12,55.96,57.00,55.96,56.46,9159700,56.46
2013-07-11,55.88,56.17,55.11,55.93,10162600,55.93
2013-07-10,53.64,54.20,53.21,54.11,9694200,54.11
2013-07-09,53.16,53.91,52.53,53.58,8480900,53.58
2013-07-08,52.25,52.73,51.87,52.27,8631300,52.27
2013-07-05,51.10,51.65,49.50,51.53,9447200,51.53
2013-07-03,48.60,49.99,48.41,49.58,5615900,49.58
2013-07-02,49.26,50.28,48.21,49.15,9972900,49.15
2013-07-01,47.91,50.00,47.90,49.35,9377800,49.35
2013-06-28,47.54,48.36,46.83,47.09,8642700,47.09
2013-06-27,46.46,48.00,46.44,47.81,10588000,47.81
2013-06-26,46.30,46.44,45.08,45.68,12660700,45.68
2013-06-25,45.01,45.33,44.04,45.06,16342600,45.06
2013-06-24,44.05,44.93,42.57,43.76,21804000,43.76
2013-06-21,45.14,45.88,43.71,45.62,19007200,45.62
2013-06-20,46.78,47.00,44.63,45.19,25182200,45.19
2013-06-19,50.92,51.22,48.93,49.12,15404100,49.12
2013-06-18,49.48,51.34,49.37,50.89,9110200,50.89
2013-06-17,49.55,49.95,48.34,49.21,9274900,49.21
2013-06-14,49.14,49.65,47.86,48.26,9549200,48.26
2013-06-13,46.90,49.73,46.38,49.41,11234200,49.41
2013-06-12,49.27,49.50,46.76,46.95,16744600,46.95
2013-06-11,48.32,49.50,47.08,48.32,11809000,48.32
2013-06-10,49.74,50.00,48.53,49.97,9968500,49.97
2013-06-07,48.68,49.47,47.77,49.05,10564000,49.05
2013-06-06,46.45,48.02,45.56,48.02,13695300,48.02
2013-06-05,48.25,48.44,46.15,46.41,13546800,46.41
2013-06-04,49.92,50.70,47.29,48.39,14678100,48.39
2013-06-03,49.14,50.16,47.48,49.92,17155800,49.92
2013-05-31,49.46,50.48,48.57,48.67,9538400,48.67
2013-05-30,49.70,50.61,49.41,50.24,8980700,50.24
2013-05-29,49.82,50.25,48.00,49.37,10687500,49.37
2013-05-28,50.81,52.10,49.72,50.74,8755800,50.74
2013-05-24,47.95,48.92,47.09,48.78,7770400,48.78
2013-05-23,46.99,48.91,46.76,48.77,9442700,48.77
2013-05-22,51.16,52.69,47.67,48.59,14044900,48.59
2013-05-21,50.88,51.42,50.40,51.04,7228200,51.04
2013-05-20,50.20,51.49,50.14,50.93,7117800,50.93
2013-05-17,49.67,50.68,49.47,50.55,7656100,50.55
2013-05-16,49.08,49.92,48.63,49.03,7826300,49.03
2013-05-15,48.77,50.06,48.61,49.39,7467900,49.39
2013-05-14,47.50,49.11,47.48,49.09,6334800,49.09
2013-05-13,47.25,47.77,46.76,47.25,6454400,47.25
2013-05-10,46.47,47.48,46.25,47.39,7196400,47.39
2013-05-09,46.58,46.89,45.80,46.20,6645400,46.20
2013-05-08,46.06,46.83,45.69,46.83,7756000,46.83
2013-05-07,45.47,46.41,44.94,46.40,9274100,46.40
2013-05-06,44.53,45.44,44.40,45.33,7311300,45.33
2013-05-03,44.05,45.38,43.87,44.38,9981000,44.38
2013-05-02,41.18,42.65,40.96,42.43,8759800,42.43
2013-05-01,43.20,43.37,40.41,40.47,11296600,40.47
2013-04-30,42.96,43.67,42.37,43.66,6076900,43.66
2013-04-29,42.57,43.20,42.26,42.87,5266500,42.87
